id,question_x,flat_top_15_ids,flat_top_10_ids,flat_top_5_ids,expanded_count,generated_ans,q_type,retrieval_s,generation_s,subject,grade,chapter,chapter_title,question_y,type,difficulty,key_concepts,reference_chunk_id,recall_any_of,reference_answer,source,hit_5,hit_any_5,hit_10,hit_any_10,mrr_any,rouge_l,bert_score,concept_cov
q_0210,"A die is thrown. Describe the following events:
   (i) A: a number less than 7
   (ii) B: a number greater than 7
   (iii) C: a multiple of 3
   (iv) D: a number less than 4
   (v) E: an even number greater than 4
   (vi) F: a number not less than 3
Also find A ∪ B, A ∩ B, B ∪ C, E ∩ F, D ∩ E, A – C, D – E, E ∩ F', F'","['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_exercises_294_a3d9571b48', 'maths_exercises_305_6c2f9bdb91', 'maths_text_288_1396691c53', 'maths_text_291_ed9f4b2f8b', 'maths_text_292_fb1023fbdf', 'maths_text_292_3f117534a5', 'maths_exercises_310_62bbd0b121', 'maths_text_291_525c2c05ac', 'maths_text_289_853bfc9b34', 'maths_text_291_b356980f17', 'maths_exercises_696_e88e6da382', 'maths_text_293_2ca71dabd0', 'maths_text_685_e2b618c6d4']","['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_exercises_294_a3d9571b48', 'maths_exercises_305_6c2f9bdb91', 'maths_text_288_1396691c53', 'maths_text_291_ed9f4b2f8b', 'maths_text_292_fb1023fbdf', 'maths_text_292_3f117534a5', 'maths_exercises_310_62bbd0b121', 'maths_text_291_525c2c05ac']","['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_exercises_294_a3d9571b48', 'maths_exercises_305_6c2f9bdb91', 'maths_text_288_1396691c53']",15,"To solve the given problem, let's break down each event and its description step by step:

1. **Event A**: A: a number less than 7
   - This includes all possible outcomes where the result is between 1 and 6 inclusive.
   - Sample Space \( S \): \( \{1, 2, 3, 4, 5, 6\} \)

2. **Event B**: B: a number greater than 7
   - Since the highest number on a standard die is 6, this event cannot occur.
   - Therefore, \( B \) is an empty set: \( B = \emptyset \).

3. **Event C**: C: a multiple of 3
   - These include the outcomes where the result is divisible by 3 without leaving a remainder.
   - Sample Space \( S \): \( \{1, 2, 3, 4, 5, 6\} \)
   - Multiples of 3: \( \{3, 6\} \)
   - Thus, \( C = \{3, 6\} \).

4. **Event D**: D: a number less than 4
   - This includes outcomes where the result is between 1 and 3 inclusive.
   - Sample Space \( S \): \( \{1, 2, 3, 4, 5, 6\} \)
   - Less than 4: \( \{1, 2, 3\} \)
   - Thus, \( D = \{1, 2, 3\} \).

5. **Event E**: E",conceptual,0.3177952766418457,13.153278350830078,maths,11,14,Probability,"A die is thrown. Describe the following events:
   (i) A: a number less than 7
   (ii) B: a number greater than 7
   (iii) C: a multiple of 3
   (iv) D: a number less than 4
   (v) E: an even number greater than 4
   (vi) F: a number not less than 3
Also find A ∪ B, A ∩ B, B ∪ C, E ∩ F, D ∩ E, A – C, D – E, E ∩ F', F'",conceptual,intermediate,['Probability'],maths_exercises_293_d2f117d04d,"['maths_exercises_293_d2f117d04d', 'maths_exercises_294_a3d9571b48', 'maths_exercises_304_07fa2ea537']","We know that the set E is a subset of the sample space S. Similarly, we find the
following correspondence between events and subsets of S.

Description of events                 Corresponding subset of 'S'
Number of tails is exactly 2          A = {TT}
Number of tails is atleast one        B = {HT, ",ncert_exercise,True,True,True,True,1.0,0.13953488372093023,0.7965619564056396,0.0
q_0446,What is Lanthanoid contraction? Explain in the context of The d- and f-Block Elements.,"['chemistry_text_400_a694c9fe81', 'chemistry_text_419_1b8c85d904', 'chemistry_text_399_a1d4d783fc', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_419_9dd5ca6b7d', 'chemistry_text_418_6ebd1caa21', 'chemistry_text_414_c72b9e5b39', 'chemistry_text_399_ecbaa739b4', 'chemistry_text_419_4be3e9bdde', 'chemistry_text_416_06560f641b', 'chemistry_text_419_8b2b3d9982', 'chemistry_text_417_946c7a4d14', 'chemistry_text_416_e4a59799aa', 'chemistry_text_395_562ad68cff', 'chemistry_text_416_e0233f20e5']","['chemistry_text_400_a694c9fe81', 'chemistry_text_419_1b8c85d904', 'chemistry_text_399_a1d4d783fc', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_419_9dd5ca6b7d', 'chemistry_text_418_6ebd1caa21', 'chemistry_text_414_c72b9e5b39', 'chemistry_text_399_ecbaa739b4', 'chemistry_text_419_4be3e9bdde', 'chemistry_text_416_06560f641b']","['chemistry_text_400_a694c9fe81', 'chemistry_text_419_1b8c85d904', 'chemistry_text_399_a1d4d783fc', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_419_9dd5ca6b7d']",15,"Lanthanoid contraction refers to the phenomenon where the radius of lanthanide elements decreases progressively as you move down the group within the d-block of the periodic table. This occurs due to the increased nuclear charge pulling the outermost electrons closer to the nucleus, despite the presence of partially filled 4f orbitals. In contrast, the actinoid contraction involves a similar reduction in atomic size but only after the first few elements in the actinoid series. Both phenomena are attributed to the imperfect shielding effect of the 4f electrons compared to the d electrons, leading to a net increase in atomic size as you move down the groups.",definition,0.27065348625183105,4.7006213665008545,chemistry,12,4,The d- and f-Block Elements,What is Lanthanoid contraction? Explain in the context of The d- and f-Block Elements.,definition,basic,"['Lanthanoid contraction', 'The d- and f-Block Elements']",chemistry_text_399_ecbaa739b4,['chemistry_text_399_ecbaa739b4'],"Fig. 4.2
Trends in enthalpies
of atomisation of
transition elements

### 4.3.2 Variation in Atomic and Ionic Sizes of Transition Metals

In general, ions of the same charge in a given series show progressive decrease in radius with increasing atomic number. This is because the new electron enters a ",generated_from_key_terms,False,False,True,True,0.125,0.15189873417721517,0.8374470472335815,0.5
q_0533,What is respiration? Explain in the context of Respiration in Plants.,"['biology_text_154_a7471c6726', 'biology_summary_164_47e02e4305', 'biology_text_160_76077ddd44', 'biology_text_156_1b5bcac8b9', 'biology_text_154_6e77c7e346', 'biology_text_153_df96fbed6a', 'biology_text_152_979f6064aa', 'biology_text_156_9898f8a718', 'biology_text_159_3e53d6fb35', 'biology_text_157_2f24c3ad41', 'biology_text_157_46b5827a0c', 'biology_text_157_1342445d16', 'biology_text_158_13a8177e20', 'biology_summary_163_e47effc2cf', 'biology_text_154_c538dabedf']","['biology_text_154_a7471c6726', 'biology_summary_164_47e02e4305', 'biology_text_160_76077ddd44', 'biology_text_156_1b5bcac8b9', 'biology_text_154_6e77c7e346', 'biology_text_153_df96fbed6a', 'biology_text_152_979f6064aa', 'biology_text_156_9898f8a718', 'biology_text_159_3e53d6fb35', 'biology_text_157_2f24c3ad41']","['biology_text_154_a7471c6726', 'biology_summary_164_47e02e4305', 'biology_text_160_76077ddd44', 'biology_text_156_1b5bcac8b9', 'biology_text_154_6e77c7e346']",15,"Respiration is the metabolic process by which cells break down organic compounds, primarily carbohydrates, to produce energy in the form of adenosine triphosphate (ATP), while releasing waste products such as carbon dioxide and water. In the context of Respiration in Plants, this process occurs within the chloroplasts of leaf cells, specifically involving the Calvin Cycle and the Electron Transport Chain. 

The primary pathway of cellular respiration in plants involves glycolysis, followed by the Krebs cycle (also known as the citric acid cycle), and finally the electron transport chain leading to oxygen consumption. This entire process is crucial for converting the chemical energy stored in glucose into usable energy for the plant's activities. The efficiency of this process is enhanced by the presence of enzymes and organelles designed to maximize energy extraction and minimize wastage.",definition,0.21234703063964844,6.126600742340088,biology,11,12,Respiration in Plants,What is respiration? Explain in the context of Respiration in Plants.,definition,basic,"['respiration', 'Respiration in Plants']",biology_text_153_f88b2caa5d,['biology_text_153_f88b2caa5d'],"Photosynthesis, of course, takes place within the chloroplasts (in the eukaryotes), whereas the breakdown of complex molecules to yield energy takes place in the cytoplasm and in the mitochondria (also only in eukaryotes). The breaking of the C-C bonds of complex compounds through oxidation within t",generated_from_key_terms,False,False,False,False,0.0,0.17582417582417584,0.8404608964920044,1.0
q_0376,Name the three important components of biodiversity.,"['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_summary_476_015a8a471d', 'biology_text_468_7e008c183b', 'biology_text_474_7dce1b3a15', 'biology_figure_469_5e8de29ff1', 'biology_summary_477_f1443af6eb', 'biology_text_469_3a190ff099', 'biology_text_467_11d1c9006f', 'biology_text_467_655dae7974', 'biology_summary_477_daf4f32b87', 'biology_text_468_d005da1cc0', 'biology_text_471_484d709b67', 'biology_text_3_b506967b6c']","['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_summary_476_015a8a471d', 'biology_text_468_7e008c183b', 'biology_text_474_7dce1b3a15', 'biology_figure_469_5e8de29ff1', 'biology_summary_477_f1443af6eb', 'biology_text_469_3a190ff099', 'biology_text_467_11d1c9006f']","['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_summary_476_015a8a471d', 'biology_text_468_7e008c183b']",15,"The three important components of biodiversity are:

1. Genetic Diversity - This refers to the variability among genes within a population, between populations, and across species. It includes differences in DNA sequences, which can affect traits such as resistance to diseases or environmental changes.

2. Species Diversity - This component involves the variety of living organisms in a given environment. It measures the number of distinct species present in a habitat, including both flora and fauna.

3. Ecosystem Diversity - This encompasses the variety of ecosystems found on Earth, each with unique characteristics influenced by factors such as climate, geology, and human activities. Ecosystems include habitats ranging from oceans and lakes to grasslands and forests.",factual,0.2361304759979248,5.010543584823608,biology,12,13,Biodiversity and Conservation,Name the three important components of biodiversity.,factual,basic,['Biodiversity and Conservation'],biology_exercises_477_0acf1e7206,"['biology_exercises_477_0acf1e7206', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5']","BIODIVERSITY AND CONSERVATION

combined diversity at all the levels of biological organisation.
The most important of them are-

(i) **Genetic diversity**: A single species might show high diversity at the genetic level over its distributional range. The genetic variation shown by the medicinal plan",ncert_exercise,True,True,True,True,1.0,0.15384615384615383,0.8347258567810059,0.0
q_0481,What is Mean deviation for ungrouped data? Explain in the context of Statistics.,"['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_text_273_1996f53c36', 'maths_text_261_57a70e3b9b', 'maths_text_270_81b6851fd1', 'maths_summary_286_cd49ec3847', 'maths_text_258_ff3b55956f', 'maths_text_262_c339c70579', 'maths_text_257_3e4c795ea2', 'maths_text_265_cb992b0893', 'maths_text_258_394892854e', 'maths_text_259_87f51511d1', 'maths_text_267_4b74d32456', 'maths_text_259_b5629895a1', 'maths_text_260_f8020e1d46']","['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_text_273_1996f53c36', 'maths_text_261_57a70e3b9b', 'maths_text_270_81b6851fd1', 'maths_summary_286_cd49ec3847', 'maths_text_258_ff3b55956f', 'maths_text_262_c339c70579', 'maths_text_257_3e4c795ea2', 'maths_text_265_cb992b0893']","['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_text_273_1996f53c36', 'maths_text_261_57a70e3b9b', 'maths_text_270_81b6851fd1']",15,"Mean deviation for ungrouped data involves calculating the average of the absolute differences between each data point and a chosen reference point, typically the arithmetic mean. This statistical measure provides insight into how spread out the data points are around the mean. It's computed by taking the absolute value of the difference between each data point and the mean, then averaging those absolute differences. This approach helps quantify the variability within a dataset without being influenced by extreme values.",definition,0.20286035537719727,3.22685170173645,maths,11,13,Statistics,What is Mean deviation for ungrouped data? Explain in the context of Statistics.,definition,basic,"['Mean deviation for ungrouped data', 'Statistics']",maths_text_259_4a6eabe4bc,['maths_text_259_4a6eabe4bc'],"13.4.1 **Mean deviation for ungrouped data** Let _n_ observations be _x_₁, _x_₂, _x_₃, ..., _xₙ_.
The following steps are involved in the calculation of mean deviation about mean or median:

**Step 1** Calculate the measure of central tendency about which we are to find the mean deviation. Let it be",generated_from_key_terms,True,True,True,True,1.0,0.22900763358778625,0.822597086429596,0.5
q_0540,What is Ammonotelism? Explain in the context of Excretory Products and Their Elimination.,"['biology_text_204_36f5a5bb70', 'biology_text_212_befa92d59d', 'biology_exercises_215_d19cf97117', 'biology_exercises_214_379be8a2ea', 'biology_text_204_72ef5505ff', 'biology_text_213_24a3f8d6d7', 'biology_summary_213_da2f8ffbf9', 'biology_summary_214_bd3eff88cc', 'biology_summary_214_a933c286ff', 'biology_summary_213_2f3bdf54de', 'biology_text_212_a831988f5f', 'biology_text_211_fbfa0001bb', 'biology_text_208_bc8c4c353b', 'biology_text_213_dd784203d9', 'biology_text_210_107d5f2a92']","['biology_text_204_36f5a5bb70', 'biology_text_212_befa92d59d', 'biology_exercises_215_d19cf97117', 'biology_exercises_214_379be8a2ea', 'biology_text_204_72ef5505ff', 'biology_text_213_24a3f8d6d7', 'biology_summary_213_da2f8ffbf9', 'biology_summary_214_bd3eff88cc', 'biology_summary_214_a933c286ff', 'biology_summary_213_2f3bdf54de']","['biology_text_204_36f5a5bb70', 'biology_text_212_befa92d59d', 'biology_exercises_215_d19cf97117', 'biology_exercises_214_379be8a2ea', 'biology_text_204_72ef5505ff']",15,"Ammonotelism refers to the natural tendency of certain organisms to excrete ammonia rather than more toxic compounds such as urea or uric acid. This phenomenon is observed in many bony fishes, aquatic amphibians, and aquatic insects. In these species, ammonia is readily soluble and diffuses across body surfaces or through gill surfaces as ammonium ions. While ammonia is highly toxic, it is easily eliminated due to its solubility. However, terrestrial adaptation required the development of less toxic nitrogenous waste products like urea and uric acid, leading to the classification of mammals, many terrestrial amphibians, and marine fishes as **ureotelic** or **uricotelic**, respectively.",definition,0.2411820888519287,5.273395299911499,biology,11,16,Excretory Products and Their Elimination,What is Ammonotelism? Explain in the context of Excretory Products and Their Elimination.,definition,basic,"['Ammonotelism', 'Excretory Products and Their Elimination']",biology_text_204_36f5a5bb70,['biology_text_204_36f5a5bb70'],"The process of excreting ammonia is **Ammonotelism**. Many bony fishes, aquatic amphibians and aquatic insects are **ammonotelic** in nature. Ammonia, as it is readily soluble, is generally excreted by diffusion across body surfaces or through gill surfaces (in fish) as ammonium ions. Kidneys do not",generated_from_key_terms,True,True,True,True,1.0,0.3945578231292517,0.8967230916023254,0.5
q_0452,"What is Alcohols? Explain in the context of Alcohols, Phenols and Ethers.","['chemistry_text_481_b275191398', 'chemistry_summary_509_6a51c8df2d', 'chemistry_text_481_90a271dea9', 'chemistry_text_493_5e99e87652', 'chemistry_summary_509_4eb38222d9', 'chemistry_text_492_803d02c4fd', 'chemistry_text_505_c56af2fa3e', 'chemistry_text_491_11d3f1a8df', 'chemistry_summary_509_4c304499b5', 'chemistry_text_493_61413624b5', 'chemistry_text_494_f07331107d', 'chemistry_text_492_b02f72745a', 'chemistry_text_482_9f2c293972', 'chemistry_text_481_f580bada1f', 'chemistry_text_502_78c8f77d8b']","['chemistry_text_481_b275191398', 'chemistry_summary_509_6a51c8df2d', 'chemistry_text_481_90a271dea9', 'chemistry_text_493_5e99e87652', 'chemistry_summary_509_4eb38222d9', 'chemistry_text_492_803d02c4fd', 'chemistry_text_505_c56af2fa3e', 'chemistry_text_491_11d3f1a8df', 'chemistry_summary_509_4c304499b5', 'chemistry_text_493_61413624b5']","['chemistry_text_481_b275191398', 'chemistry_summary_509_6a51c8df2d', 'chemistry_text_481_90a271dea9', 'chemistry_text_493_5e99e87652', 'chemistry_summary_509_4eb38222d9']",15,"Alcohols, phenols, and ethers are organic compounds characterized by the presence of hydroxyl (-OH) functional groups. These compounds play crucial roles in various chemical processes and industrial applications:

- **Alcohols**: Contain one or more hydroxyl groups directly bonded to a carbon atom within an aliphatic system (e.g., CH₃OH). They have higher boiling points compared to similar-sized hydrocarbons due to intermolecular hydrogen bonding. Alcohols are capable of forming hydrogen bonds, making them soluble in polar solvents like water. They undergo nucleophilic substitution reactions with hydrogen halides to produce alkyl halides and dehydration to form alkenes. Primary alcohols can be oxidized to aldehydes with weak oxidizing agents, while secondary alcohols yield ketones upon oxidation.

- **Phenols**: Similar to alcohols but contain the -OH group attached to a benzene ring (C₆H₅OH). Like alcohols, phenols exhibit acidity because their hydroxyl groups can donate protons to stronger bases. Their boiling points are lower than those of alcohols due to less effective hydrogen bonding. Phenols undergo similar types of reactions as alcohols, including nucleophilic substitution and deprotonation.

- **Ethers**: Have the -OR group where R represents an alkyl or aryl group. Unlike alcohols and phenols, ethers do not form hydrogen bonds",definition,0.1628894805908203,10.76293134689331,chemistry,12,7,"Alcohols, Phenols and Ethers","What is Alcohols? Explain in the context of Alcohols, Phenols and Ethers.",definition,basic,"['Alcohols', 'Alcohols, Phenols and Ethers']",chemistry_text_481_338a013542,['chemistry_text_481_338a013542'],You have learnt that substitution of one or more hydrogen atom(s) from a hydrocarbon by another atom or a group of atoms result in the formation of an entirely new compound having altogether different properties and applications. **Alcohols** and **phenols** are formed when a hydrogen atom in a hydr,generated_from_key_terms,False,False,False,False,0.0,0.12955465587044535,0.8223527669906616,0.5
q_0107,"Justify that the following reactions are redox reactions:
(a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)
(b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)
(c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)
(d) 2K(s) + F₂(g) → 2K⁺F⁻(s)
(e) 4 NH₃(g) + 5 O₂(g) → 4NO(g) + 6H₂O(g)","['chemistry_exercises_231_0ccd183107', 'chemistry_text_220_f3815c9cab', 'chemistry_text_216_a7197b95c9', 'chemistry_text_221_3527d400be', 'chemistry_exercises_232_74a5438a14', 'chemistry_text_220_6632d8275d', 'chemistry_text_217_521ebdeeaa', 'chemistry_marginalia_228_ce7b3cf524', 'chemistry_text_215_70a19217d7', 'chemistry_text_223_ff12731d0a', 'chemistry_text_215_46786373be', 'chemistry_text_225_691c3bd53b', 'chemistry_exercises_233_b8ebcdca4f', 'chemistry_text_216_b2d71fad88', 'chemistry_text_215_816aff792b']","['chemistry_exercises_231_0ccd183107', 'chemistry_text_220_f3815c9cab', 'chemistry_text_216_a7197b95c9', 'chemistry_text_221_3527d400be', 'chemistry_exercises_232_74a5438a14', 'chemistry_text_220_6632d8275d', 'chemistry_text_217_521ebdeeaa', 'chemistry_marginalia_228_ce7b3cf524', 'chemistry_text_215_70a19217d7', 'chemistry_text_223_ff12731d0a']","['chemistry_exercises_231_0ccd183107', 'chemistry_text_220_f3815c9cab', 'chemistry_text_216_a7197b95c9', 'chemistry_text_221_3527d400be', 'chemistry_exercises_232_74a5438a14']",15,"To justify whether a given chemical reaction is a redox reaction, we need to identify changes in oxidation numbers of atoms involved in the reaction. A redox reaction involves the transfer of electrons between species, resulting in changes in oxidation numbers.

### Example 1: Reaction between Copper Oxide and Hydrogen Gas

Given reaction:
\[ \text{Cu}_2\text{O}(s) + \text{H}_2(g) \rightarrow \text{Cu}(s) + \text{H}_2\text{O}(g) \]

#### Step-by-Step Analysis:

1. **Assign Oxidation Numbers:**

   - In \( \text{Cu}_2\text{O} \):
     - Oxygen typically has an oxidation number of -2.
     - Let \( x \) be the oxidation number of copper.
     - Therefore, \( 2x + (-2) = 0 \Rightarrow x = +1 \).
     - So, \( \text{Cu}_2\text{O} \) has an overall oxidation number of +1.

   - In \( \text{H}_2 \):
     - Hydrogen has an oxidation number of +1.

   - In \( \text{Cu} \):
     - Copper has an oxidation number of +2.

   - In \( \text{H}_2\text{O} \):
     - Oxygen has an oxidation number of -2.
     - Let \( y \) be the oxidation number of hydrogen.
     - Therefore, \( y + (-2) = -2 \Rightarrow y = 0 \).
     - So, \( \text{H}_2\text{O} \) has an overall oxidation number of -2.

2. **Change in Oxidation Numbers:**

   - Copper's oxidation number increases from +1 to +2.
   - Oxygen's oxidation number decreases from -2 to -2.

3. **Conclusion:**

   Since there is a net increase in the oxidation number of copper and a net",numerical,0.2572047710418701,15.022316932678223,chemistry,11,7,Redox Reactions,"Justify that the following reactions are redox reactions:
(a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)
(b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)
(c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)
(d) 2K(s) + F₂(g) → 2K⁺F⁻(s)
(e) 4 NH₃(g) + 5 O₂(g) → 4NO(g) + 6H₂O(g)",numerical,intermediate,['Redox Reactions'],chemistry_exercises_231_0ccd183107,"['chemistry_exercises_231_0ccd183107', 'chemistry_marginalia_232_e793e872ae', 'chemistry_exercises_232_74a5438a14']","Chemistry deals with varieties of matter and change of one kind of matter into the other. Transformation of matter from one kind into another occurs through the various types of reactions. One important category of such reactions is **Redox Reactions**. A number of phenomena, both physical as well a",ncert_exercise,True,True,True,True,1.0,0.09523809523809523,0.7757807374000549,0.0
q_0505,What is Solution? Explain in the context of Three Dimensional Geometry.,"['maths_exercises_211_0c3d17c0ea', 'maths_exercises_213_d5d8774b21', 'maths_text_659_68f396b368', 'maths_text_656_b13b63daad', 'maths_exercises_213_e77e2a8824', 'maths_text_210_237f16e5a6', 'maths_exercises_212_05170c3981', 'maths_exercises_211_a378f09775', 'maths_text_210_6d157859aa', 'maths_exercises_211_32778292c9', 'maths_text_663_4620d89787', 'maths_text_654_15d03d7ded', 'maths_exercises_212_f04e4d507a', 'maths_text_654_f9a5bd10b1', 'maths_text_651_4622f77e33']","['maths_exercises_211_0c3d17c0ea', 'maths_exercises_213_d5d8774b21', 'maths_text_659_68f396b368', 'maths_text_656_b13b63daad', 'maths_exercises_213_e77e2a8824', 'maths_text_210_237f16e5a6', 'maths_exercises_212_05170c3981', 'maths_exercises_211_a378f09775', 'maths_text_210_6d157859aa', 'maths_exercises_211_32778292c9']","['maths_exercises_211_0c3d17c0ea', 'maths_exercises_213_d5d8774b21', 'maths_text_659_68f396b368', 'maths_text_656_b13b63daad', 'maths_exercises_213_e77e2a8824']",15,"A solution in the context of Three Dimensional Geometry refers to a method or process used to solve problems involving geometric relationships in space. This typically involves applying mathematical principles and formulas to determine properties and characteristics of shapes and structures within three-dimensional space. Solutions often involve calculations related to distances, angles, areas, volumes, and other measurements specific to three-dimensional figures. They can range from straightforward computations like finding the length of a diagonal in a rectangular prism to more complex analyses requiring vector operations, dot products, cross products, and projections. The goal is to provide a precise description or calculation that answers questions about spatial configurations and their interactions.",definition,0.19887852668762207,4.595137596130371,maths,12,11,Three Dimensional Geometry,What is Solution? Explain in the context of Three Dimensional Geometry.,definition,basic,"['Solution', 'Three Dimensional Geometry']",maths_text_654_f9a5bd10b1,['maths_text_654_f9a5bd10b1'],"**Solution** Let the d. c.'s of the lines be l, m, n. Then l = cos 90° = 0, m = cos 60° = 1/2,",generated_from_key_terms,False,False,False,False,0.0,0.05925925925925926,0.7902534604072571,1.0
q_0290,"Mention the function of the Ureters in frog.
CELL: STRUCTURE AND FUNCTIONS
Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of forms, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around li","['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_a247680e0a', 'biology_text_81_02121d473d', 'biology_figure_80_47a1eecd48', 'biology_text_80_bb02bcf7a4', 'biology_text_81_04b09788e4', 'biology_exercises_84_d0bd493477', 'biology_text_82_2227b001e2', 'biology_summary_83_7eecc9dfc7', 'biology_text_82_390b8ed99c', 'biology_text_80_58e8805a87', 'biology_text_83_8d1e288499', 'biology_summary_83_77a521d8f7', 'biology_text_78_15443b7248', 'biology_exercises_84_f6d3b88d41']","['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_a247680e0a', 'biology_text_81_02121d473d', 'biology_figure_80_47a1eecd48', 'biology_text_80_bb02bcf7a4', 'biology_text_81_04b09788e4', 'biology_exercises_84_d0bd493477', 'biology_text_82_2227b001e2', 'biology_summary_83_7eecc9dfc7', 'biology_text_82_390b8ed99c']","['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_a247680e0a', 'biology_text_81_02121d473d', 'biology_figure_80_47a1eecd48', 'biology_text_80_bb02bcf7a4']",15,"In frogs, the Ureters play a crucial role in the excretory process. They serve as the primary pathway for the removal of metabolic waste products, particularly ammonia, from the body. Ammonia produced by the breakdown of proteins in the frog's body is highly toxic and must be eliminated efficiently to prevent toxicity within the organism. The Ureters transport this waste product through the body until it reaches the cloaca, where it is expelled via the anus. This ensures that the frog maintains its water balance and prevents accumulation of harmful substances in the bloodstream. Additionally, the Ureters help regulate electrolyte levels and contribute to overall homeostasis in the amphibian.",conceptual,0.3681302070617676,4.986515045166016,biology,11,7,Structural Organisation in Animals,"Mention the function of the Ureters in frog.
CELL: STRUCTURE AND FUNCTIONS
Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of forms, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around li",conceptual,intermediate,['Structural Organisation in Animals'],biology_exercises_83_d3ddf19a79,"['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_d0bd493477', 'biology_exercises_84_a247680e0a']","## 7.1 ORGAN AND ORGAN SYSTEM

The basic tissues as you have learnt in earlier classes, organise to form organs which in turn associate to form organ systems in the multicellular organisms. Such an organisation is essential for more efficient and better coordinated activities of millions of cells co",ncert_exercise,True,True,True,True,1.0,0.11320754716981132,0.8276578187942505,0.0
