id,flat_top_10_ids,flat_top_5_ids,generated_ans,subject,grade,chapter,chapter_title,question,type,difficulty,key_concepts,reference_chunk_id,recall_any_of,reference_answer,source,hit_5,hit_any_5,hit_10,hit_any_10,mrr_any,rouge_l,bert_score,concept_cov
q_0210,[],[],"(i) Event A: A number less than 7.
(ii) Event B: A number greater than 7.
(iii) Event C: A multiple of 3.
(iv) Event D: A number less than 4.
(v) Event E: An even number greater than 4.
(vi) Event F: A number not less than 3.

Now, let's find the union and intersection of these events:

A ∪ B = {1, 2, 3, 4, 5, 6} (all numbers from 1 to 6)
A ∩ B = {} (no common elements)

B ∪ C = {1, 2, 3, 4, 5, 6} (same as A ∪ B since both sets contain all numbers from 1 to 6)
B ∩ C = {} (no common elements)

E ∩ F = {6} (only 6 is both even and greater than or equal to 3)

D ∩ E = {} (no common elements)

A – C = {1, 2, 3, 4, 5, 6} - {3, 6} = {1, 2, 4, 5}
D – E = {1, 2, 3, 4, 5, 6} - {6} = {1, 2, 3, 4, 5}

E ∩ F' = {5, 6} (since F contains only numbers not less than 3, F' contains only 1 and 2 which are not in E)

F' = {1,",maths,11,14,Probability,"A die is thrown. Describe the following events:
   (i) A: a number less than 7
   (ii) B: a number greater than 7
   (iii) C: a multiple of 3
   (iv) D: a number less than 4
   (v) E: an even number greater than 4
   (vi) F: a number not less than 3
Also find A ∪ B, A ∩ B, B ∪ C, E ∩ F, D ∩ E, A – C, D – E, E ∩ F', F'",conceptual,intermediate,['Probability'],maths_exercises_293_d2f117d04d,"['maths_exercises_293_d2f117d04d', 'maths_exercises_294_a3d9571b48', 'maths_exercises_304_07fa2ea537']","We know that the set E is a subset of the sample space S. Similarly, we find the
following correspondence between events and subsets of S.

Description of events                 Corresponding subset of 'S'
Number of tails is exactly 2          A = {TT}
Number of tails is atleast one        B = {HT, ",ncert_exercise,False,False,False,False,0.0,0.11353711790393012,0.7706084847450256,0.0
q_0446,[],[],"Lanthanoid contraction refers to the phenomenon where successive lanthanide elements become progressively smaller in size as you move from left to right across the periodic table. This occurs because the effective nuclear charge (Zeff) increases slightly for each subsequent element due to the increasing number of inner electrons shielding the outer electrons.

In the context of the d-block and f-block elements:

1. **d-Block Elements**: These include transition metals like iron, cobalt, nickel, copper, zinc, etc., which have partially filled d orbitals. As we go down the group, the atomic radius decreases due to increased electron-electron repulsion within the same energy level but also due to the increase in nuclear charge that pushes the valence electrons closer to the nucleus.

2. **f-Block Elements**: These include the lanthanides and actinides, which have completely filled f orbitals. The lanthanides exhibit significant contraction compared to their position on the periodic table, while the actinides show less contraction because they have more than one complete set of f-orbitals.

The contraction of the lanthanides can be explained by the following factors:
- **Electron Shielding Effect**: Inner electrons shield the outer electrons better, reducing the effective nuclear charge.
- **Nuclear Charge Increase**: With each new lanthanide element, there's a slight increase in the nuclear charge, pulling the outer electrons closer to the nucleus.
- **Atomic Size Decrease**: Due to these effects,",chemistry,12,4,The d- and f-Block Elements,What is Lanthanoid contraction? Explain in the context of The d- and f-Block Elements.,definition,basic,"['Lanthanoid contraction', 'The d- and f-Block Elements']",chemistry_text_399_ecbaa739b4,['chemistry_text_399_ecbaa739b4'],"Fig. 4.2
Trends in enthalpies
of atomisation of
transition elements

### 4.3.2 Variation in Atomic and Ionic Sizes of Transition Metals

In general, ions of the same charge in a given series show progressive decrease in radius with increasing atomic number. This is because the new electron enters a ",generated_from_key_terms,False,False,False,False,0.0,0.1003584229390681,0.8200246095657349,0.5
q_0533,[],[],"Respiration is the process by which living organisms break down glucose and other organic molecules to release energy stored within them. This process occurs in all cells and involves two main stages: glycolysis and cellular respiration.

In plants, respiration primarily takes place in the mitochondria of their cells. The overall equation for aerobic respiration (which uses oxygen) can be summarized as:

Glucose + Oxygen → Carbon dioxide + Water + Energy

This process releases energy that is used to power various life processes such as growth, movement, and reproduction. In contrast, anaerobic respiration does not require oxygen and produces less energy per molecule than aerobic respiration but still provides some energy.

Plants also undergo photosynthesis, where they convert light energy into chemical energy using chlorophyll. Photosynthesis is crucial because it converts carbon dioxide from the atmosphere into glucose, which serves as food for the plant and helps remove carbon dioxide from the air, contributing to the reduction of greenhouse gases like CO2.",biology,11,12,Respiration in Plants,What is respiration? Explain in the context of Respiration in Plants.,definition,basic,"['respiration', 'Respiration in Plants']",biology_text_153_f88b2caa5d,['biology_text_153_f88b2caa5d'],"Photosynthesis, of course, takes place within the chloroplasts (in the eukaryotes), whereas the breakdown of complex molecules to yield energy takes place in the cytoplasm and in the mitochondria (also only in eukaryotes). The breaking of the C-C bonds of complex compounds through oxidation within t",generated_from_key_terms,False,False,False,False,0.0,0.13658536585365852,0.8415947556495667,0.5
q_0376,[],[],"The three important components of biodiversity are:

1. Genetic diversity - This refers to the variation in genes within populations and among species.
2. Species diversity - This is the variety of different species present in an ecosystem.
3. Ecosystem diversity - This encompasses the variety of ecosystems on Earth, including aquatic and terrestrial environments.",biology,12,13,Biodiversity and Conservation,Name the three important components of biodiversity.,factual,basic,['Biodiversity and Conservation'],biology_exercises_477_0acf1e7206,"['biology_exercises_477_0acf1e7206', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5']","BIODIVERSITY AND CONSERVATION

combined diversity at all the levels of biological organisation.
The most important of them are-

(i) **Genetic diversity**: A single species might show high diversity at the genetic level over its distributional range. The genetic variation shown by the medicinal plan",ncert_exercise,False,False,False,False,0.0,0.20833333333333331,0.8484224081039429,0.0
q_0481,[],[],"Mean deviation for ungrouped data refers to the average of the absolute deviations from the mean value of the dataset. It is calculated by taking the sum of the absolute differences between each data point and the mean, then dividing this sum by the number of data points.

In statistics, the mean deviation provides a measure of variability that indicates how much the values in a dataset deviate from the mean. A lower mean deviation suggests that the data points tend to be closer to the mean, indicating less variability or dispersion in the data set. This measure is useful for understanding the spread of data without being influenced by extreme values (outliers).",maths,11,13,Statistics,What is Mean deviation for ungrouped data? Explain in the context of Statistics.,definition,basic,"['Mean deviation for ungrouped data', 'Statistics']",maths_text_259_4a6eabe4bc,['maths_text_259_4a6eabe4bc'],"13.4.1 **Mean deviation for ungrouped data** Let _n_ observations be _x_₁, _x_₂, _x_₃, ..., _xₙ_.
The following steps are involved in the calculation of mean deviation about mean or median:

**Step 1** Calculate the measure of central tendency about which we are to find the mean deviation. Let it be",generated_from_key_terms,False,False,False,False,0.0,0.2073170731707317,0.8236082792282104,1.0
q_0540,[],[],"Ammonotelism refers to the excretion of nitrogenous waste products primarily as ammonia (NH3). This process occurs when there's a high concentration of urea in the blood but insufficient kidneys to eliminate it efficiently. In ammonotelic organisms, such as many fish and amphibians, the primary form of nitrogenous waste removal is through the production of ammonia by the liver and its subsequent excretion into the surrounding water.

In contrast, some animals like mammals have evolved a more efficient system called ammonotelysis, where they produce less ammonia and convert most of it into urea before excreting it. Urea is then eliminated from the body via urine rather than directly into the bloodstream. This conversion helps reduce the toxicity of ammonia and allows for better regulation of pH balance within the body.",biology,11,16,Excretory Products and Their Elimination,What is Ammonotelism? Explain in the context of Excretory Products and Their Elimination.,definition,basic,"['Ammonotelism', 'Excretory Products and Their Elimination']",biology_text_204_36f5a5bb70,['biology_text_204_36f5a5bb70'],"The process of excreting ammonia is **Ammonotelism**. Many bony fishes, aquatic amphibians and aquatic insects are **ammonotelic** in nature. Ammonia, as it is readily soluble, is generally excreted by diffusion across body surfaces or through gill surfaces (in fish) as ammonium ions. Kidneys do not",generated_from_key_terms,False,False,False,False,0.0,0.14857142857142858,0.8570228219032288,0.5
q_0452,[],[],"Alcohols, phenols, and ethers are all types of organic compounds that contain hydroxyl (-OH) groups attached to carbon atoms. Here's a brief explanation:

1. **Alcohols**:
   - Alcohols are organic compounds containing one or more hydroxyl (-OH) functional groups.
   - They can be classified into primary (R-CH₂-OH), secondary (R-CO-R'), and tertiary (R-COR') alcohols based on the number of alkyl substituents connected to the oxygen atom.
   - Examples include ethanol (C₂H₅OH), propanol (C₃H₈OH), butanol (C₄H₁₀OH), etc.

2. **Phenols**:
   - Phenols are aromatic hydrocarbons where the benzene ring has at least one hydrogen atom replaced by a hydroxyl group (-OH).
   - The general formula is C₆H₅-OH.
   - Important examples include phenol (C₆H₅OH), cresol (C₆H₅COOH), and xylenol (C₆H₅-COOH).

3. **Ethers**:
   - Ethers are organic compounds formed from two alkyl or aryl groups linked by an oxygen atom (-O-).
   - They have the general structure R₁-O-R₂.
   - Examples include methyl ether (CH",chemistry,12,7,"Alcohols, Phenols and Ethers","What is Alcohols? Explain in the context of Alcohols, Phenols and Ethers.",definition,basic,"['Alcohols', 'Alcohols, Phenols and Ethers']",chemistry_text_481_338a013542,['chemistry_text_481_338a013542'],You have learnt that substitution of one or more hydrogen atom(s) from a hydrocarbon by another atom or a group of atoms result in the formation of an entirely new compound having altogether different properties and applications. **Alcohols** and **phenols** are formed when a hydrogen atom in a hydr,generated_from_key_terms,False,False,False,False,0.0,0.13333333333333333,0.7939090132713318,0.5
q_0107,[],[],"Sure! Let's analyze each reaction to determine if it is a redox reaction.

### (a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)

**Step 1:** Identify oxidation states.
- In CuO: Cu = +2, O = -2
- In Cu: Cu = 0
- In H₂: H = +1, O = -2
- In H₂O: H = +1, O = -2

**Step 2:** Determine which elements change their oxidation states.
- Copper (Cu) changes from +2 in CuO to 0 in Cu.
- Oxygen (O) changes from -2 in CuO to -2 in H₂O.

Since both copper and oxygen have changed oxidation states, this reaction involves a redox process.

**Final Answer:** Yes, this reaction is a redox reaction.

### (b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)

**Step 1:** Identify oxidation states.
- In Fe₂O₃: Fe = +3, O = -2
- In CO: C = +2, O = -2
- In CO₂: C = +4, O = -2

**Step 2:** Determine which elements change their oxidation states.
- Iron (Fe) changes from +3 in Fe₂O₃ to 0 in Fe.
- Carbon (C) changes from +2 in CO to +4 in CO₂.

Since both iron and carbon have changed oxidation states, this reaction involves a redox process.

**Final Answer:** Yes, this reaction is a redox reaction.

### (c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)

**Step 1:** Identify oxidation states.
- In BCl₃",chemistry,11,7,Redox Reactions,"Justify that the following reactions are redox reactions:
(a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)
(b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)
(c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)
(d) 2K(s) + F₂(g) → 2K⁺F⁻(s)
(e) 4 NH₃(g) + 5 O₂(g) → 4NO(g) + 6H₂O(g)",numerical,intermediate,['Redox Reactions'],chemistry_exercises_231_0ccd183107,"['chemistry_exercises_231_0ccd183107', 'chemistry_marginalia_232_e793e872ae', 'chemistry_exercises_232_74a5438a14']","Chemistry deals with varieties of matter and change of one kind of matter into the other. Transformation of matter from one kind into another occurs through the various types of reactions. One important category of such reactions is **Redox Reactions**. A number of phenomena, both physical as well a",ncert_exercise,False,False,False,False,0.0,0.06741573033707865,0.7772560715675354,0.0
q_0505,[],[],"In the context of three-dimensional geometry, a solution refers to a point that satisfies all given equations simultaneously. When dealing with systems of linear equations in three variables (x, y, z), each equation represents a plane in space. The solution to such a system is the point where these planes intersect.

For example, consider the following system of equations:

1) x + y + z = 6
2) x - y + z = 0
3) 2x + y - z = 4

To find the solution, you would solve this system step by step. First, add equations 1 and 2 to eliminate y:

(x + y + z) + (x - y + z) = 6 + 0
2x + 2z = 6
x + z = 3

Next, multiply equation 3 by 2 and subtract it from twice equation 1:

2(x + y + z) - (2x + y - z) = 2(6) - 4
y + 3z = 8

Now you have two new equations:
1) x + z = 3
2) y + 3z = 8

Subtract equation 1 from equation 2 multiplied by 3 to eliminate y:

(y + 3z) - 3(x + z) = 8 - 3(3)
y + 3z - 3x -",maths,12,11,Three Dimensional Geometry,What is Solution? Explain in the context of Three Dimensional Geometry.,definition,basic,"['Solution', 'Three Dimensional Geometry']",maths_text_654_f9a5bd10b1,['maths_text_654_f9a5bd10b1'],"**Solution** Let the d. c.'s of the lines be l, m, n. Then l = cos 90° = 0, m = cos 60° = 1/2,",generated_from_key_terms,False,False,False,False,0.0,0.07142857142857144,0.794564425945282,0.5
q_0290,[],[],"In frogs, the ureters play a crucial role in excretion, specifically urine transport from the kidneys to the urinary bladder. Here's how they function:

1. **Transportation of Urine**: The ureters carry urine produced by the kidneys from the renal pelvis down to the bladder. This ensures that waste products are efficiently removed from the body.

2. **Control of Flow**: The smooth muscle lining of the ureter contracts rhythmically, helping to maintain a constant flow of urine towards the bladder. This prevents backflow into the kidney tubules.

3. **Protection**: The muscular walls of the ureters provide protection against physical damage or blockages that could impede urine flow.

4. **Regulation**: The contraction patterns of the ureters can be regulated by neural signals, allowing for controlled urination during various activities like feeding or mating.

5. **Maintenance of Urinary Bladder Capacity**: By ensuring continuous urine flow, the ureters help maintain the capacity of the bladder, preventing it from becoming overfilled with urine.

6. **Prevention of Infection**: Efficient urine flow helps prevent bacterial buildup in the urinary tract, reducing the risk of infections such as cystitis.

7. **Integration with Kidney Function**: The coordinated action of the ureters with the kidneys' filtration process ensures that the entire system functions optimally, contributing to overall homeostasis within the body.

These functions highlight the importance of the ureters in maintaining proper bodily functions and health in amphibians like frogs.",biology,11,7,Structural Organisation in Animals,"Mention the function of the Ureters in frog.
CELL: STRUCTURE AND FUNCTIONS
Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of forms, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around li",conceptual,intermediate,['Structural Organisation in Animals'],biology_exercises_83_d3ddf19a79,"['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_d0bd493477', 'biology_exercises_84_a247680e0a']","## 7.1 ORGAN AND ORGAN SYSTEM

The basic tissues as you have learnt in earlier classes, organise to form organs which in turn associate to form organ systems in the multicellular organisms. Such an organisation is essential for more efficient and better coordinated activities of millions of cells co",ncert_exercise,False,False,False,False,0.0,0.07142857142857142,0.8094763159751892,0.0
