id,flat_top_10_ids,flat_top_5_ids,generated_ans,subject,grade,chapter,chapter_title,question,type,difficulty,key_concepts,reference_chunk_id,recall_any_of,reference_answer,source,hit_5,hit_any_5,hit_10,hit_any_10,mrr_any
q_0210,"['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_exercises_294_a3d9571b48', 'maths_exercises_305_6c2f9bdb91', 'maths_exercises_696_e88e6da382', 'maths_text_685_e2b618c6d4', 'maths_text_288_1396691c53', 'maths_text_693_f079a39293', 'maths_text_693_1d87988522', 'maths_text_291_ed9f4b2f8b']","['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_exercises_294_a3d9571b48', 'maths_exercises_305_6c2f9bdb91', 'maths_exercises_696_e88e6da382']",,maths,11,14,Probability,"A die is thrown. Describe the following events:
   (i) A: a number less than 7
   (ii) B: a number greater than 7
   (iii) C: a multiple of 3
   (iv) D: a number less than 4
   (v) E: an even number greater than 4
   (vi) F: a number not less than 3
Also find A ∪ B, A ∩ B, B ∪ C, E ∩ F, D ∩ E, A – C, D – E, E ∩ F', F'",conceptual,intermediate,['Probability'],maths_exercises_293_d2f117d04d,"['maths_exercises_293_d2f117d04d', 'maths_exercises_294_a3d9571b48', 'maths_exercises_304_07fa2ea537']","We know that the set E is a subset of the sample space S. Similarly, we find the
following correspondence between events and subsets of S.

Description of events                 Corresponding subset of 'S'
Number of tails is exactly 2          A = {TT}
Number of tails is atleast one        B = {HT, ",ncert_exercise,True,True,True,True,1.0
q_0446,"['chemistry_text_400_a694c9fe81', 'chemistry_text_419_1b8c85d904', 'chemistry_text_399_a1d4d783fc', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_419_9dd5ca6b7d', 'chemistry_text_418_6ebd1caa21', 'chemistry_text_414_c72b9e5b39', 'chemistry_text_399_ecbaa739b4', 'chemistry_text_419_4be3e9bdde', 'chemistry_text_416_06560f641b']","['chemistry_text_400_a694c9fe81', 'chemistry_text_419_1b8c85d904', 'chemistry_text_399_a1d4d783fc', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_419_9dd5ca6b7d']",,chemistry,12,4,The d- and f-Block Elements,What is Lanthanoid contraction? Explain in the context of The d- and f-Block Elements.,definition,basic,"['Lanthanoid contraction', 'The d- and f-Block Elements']",chemistry_text_399_ecbaa739b4,['chemistry_text_399_ecbaa739b4'],"Fig. 4.2
Trends in enthalpies
of atomisation of
transition elements

### 4.3.2 Variation in Atomic and Ionic Sizes of Transition Metals

In general, ions of the same charge in a given series show progressive decrease in radius with increasing atomic number. This is because the new electron enters a ",generated_from_key_terms,False,False,True,True,0.125
q_0533,"['biology_text_154_a7471c6726', 'biology_summary_164_47e02e4305', 'biology_text_160_76077ddd44', 'biology_text_156_1b5bcac8b9', 'biology_text_154_6e77c7e346', 'biology_text_153_df96fbed6a', 'biology_text_156_9898f8a718', 'biology_text_152_979f6064aa', 'biology_text_159_3e53d6fb35', 'biology_text_157_2f24c3ad41']","['biology_text_154_a7471c6726', 'biology_summary_164_47e02e4305', 'biology_text_160_76077ddd44', 'biology_text_156_1b5bcac8b9', 'biology_text_154_6e77c7e346']",,biology,11,12,Respiration in Plants,What is respiration? Explain in the context of Respiration in Plants.,definition,basic,"['respiration', 'Respiration in Plants']",biology_text_153_f88b2caa5d,['biology_text_153_f88b2caa5d'],"Photosynthesis, of course, takes place within the chloroplasts (in the eukaryotes), whereas the breakdown of complex molecules to yield energy takes place in the cytoplasm and in the mitochondria (also only in eukaryotes). The breaking of the C-C bonds of complex compounds through oxidation within t",generated_from_key_terms,False,False,False,False,0.0
q_0376,"['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_summary_476_015a8a471d', 'biology_text_468_7e008c183b', 'biology_text_3_b506967b6c', 'biology_text_474_7dce1b3a15', 'biology_summary_465_eb19fdc7d2', 'biology_figure_469_5e8de29ff1', 'biology_summary_465_ddb6cefca9']","['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_summary_476_015a8a471d', 'biology_text_468_7e008c183b']",,biology,12,13,Biodiversity and Conservation,Name the three important components of biodiversity.,factual,basic,['Biodiversity and Conservation'],biology_exercises_477_0acf1e7206,"['biology_exercises_477_0acf1e7206', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5']","BIODIVERSITY AND CONSERVATION

combined diversity at all the levels of biological organisation.
The most important of them are-

(i) **Genetic diversity**: A single species might show high diversity at the genetic level over its distributional range. The genetic variation shown by the medicinal plan",ncert_exercise,True,True,True,True,1.0
q_0481,"['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_text_273_1996f53c36', 'maths_text_261_57a70e3b9b', 'maths_text_270_81b6851fd1', 'maths_summary_286_cd49ec3847', 'maths_text_258_ff3b55956f', 'maths_text_262_c339c70579', 'maths_text_257_3e4c795ea2', 'maths_text_265_cb992b0893']","['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_text_273_1996f53c36', 'maths_text_261_57a70e3b9b', 'maths_text_270_81b6851fd1']",,maths,11,13,Statistics,What is Mean deviation for ungrouped data? Explain in the context of Statistics.,definition,basic,"['Mean deviation for ungrouped data', 'Statistics']",maths_text_259_4a6eabe4bc,['maths_text_259_4a6eabe4bc'],"13.4.1 **Mean deviation for ungrouped data** Let _n_ observations be _x_₁, _x_₂, _x_₃, ..., _xₙ_.
The following steps are involved in the calculation of mean deviation about mean or median:

**Step 1** Calculate the measure of central tendency about which we are to find the mean deviation. Let it be",generated_from_key_terms,True,True,True,True,1.0
q_0540,"['biology_text_204_36f5a5bb70', 'biology_text_212_befa92d59d', 'biology_exercises_215_d19cf97117', 'biology_exercises_214_379be8a2ea', 'biology_text_204_72ef5505ff', 'biology_text_213_24a3f8d6d7', 'biology_summary_213_da2f8ffbf9', 'biology_summary_214_bd3eff88cc', 'biology_summary_214_a933c286ff', 'biology_summary_213_2f3bdf54de']","['biology_text_204_36f5a5bb70', 'biology_text_212_befa92d59d', 'biology_exercises_215_d19cf97117', 'biology_exercises_214_379be8a2ea', 'biology_text_204_72ef5505ff']",,biology,11,16,Excretory Products and Their Elimination,What is Ammonotelism? Explain in the context of Excretory Products and Their Elimination.,definition,basic,"['Ammonotelism', 'Excretory Products and Their Elimination']",biology_text_204_36f5a5bb70,['biology_text_204_36f5a5bb70'],"The process of excreting ammonia is **Ammonotelism**. Many bony fishes, aquatic amphibians and aquatic insects are **ammonotelic** in nature. Ammonia, as it is readily soluble, is generally excreted by diffusion across body surfaces or through gill surfaces (in fish) as ammonium ions. Kidneys do not",generated_from_key_terms,True,True,True,True,1.0
q_0452,"['chemistry_text_481_b275191398', 'chemistry_summary_509_6a51c8df2d', 'chemistry_text_481_90a271dea9', 'chemistry_text_493_5e99e87652', 'chemistry_summary_509_4eb38222d9', 'chemistry_text_492_803d02c4fd', 'chemistry_text_505_c56af2fa3e', 'chemistry_text_491_11d3f1a8df', 'chemistry_summary_509_4c304499b5', 'chemistry_text_493_61413624b5']","['chemistry_text_481_b275191398', 'chemistry_summary_509_6a51c8df2d', 'chemistry_text_481_90a271dea9', 'chemistry_text_493_5e99e87652', 'chemistry_summary_509_4eb38222d9']",,chemistry,12,7,"Alcohols, Phenols and Ethers","What is Alcohols? Explain in the context of Alcohols, Phenols and Ethers.",definition,basic,"['Alcohols', 'Alcohols, Phenols and Ethers']",chemistry_text_481_338a013542,['chemistry_text_481_338a013542'],You have learnt that substitution of one or more hydrogen atom(s) from a hydrocarbon by another atom or a group of atoms result in the formation of an entirely new compound having altogether different properties and applications. **Alcohols** and **phenols** are formed when a hydrogen atom in a hydr,generated_from_key_terms,False,False,False,False,0.0
q_0107,"['chemistry_exercises_231_0ccd183107', 'chemistry_text_220_f3815c9cab', 'chemistry_text_216_a7197b95c9', 'chemistry_exercises_232_74a5438a14', 'chemistry_text_220_6632d8275d', 'chemistry_text_217_521ebdeeaa', 'chemistry_marginalia_228_ce7b3cf524', 'chemistry_text_215_70a19217d7', 'chemistry_text_223_ff12731d0a', 'chemistry_text_215_46786373be']","['chemistry_exercises_231_0ccd183107', 'chemistry_text_220_f3815c9cab', 'chemistry_text_216_a7197b95c9', 'chemistry_exercises_232_74a5438a14', 'chemistry_text_220_6632d8275d']",,chemistry,11,7,Redox Reactions,"Justify that the following reactions are redox reactions:
(a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)
(b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)
(c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)
(d) 2K(s) + F₂(g) → 2K⁺F⁻(s)
(e) 4 NH₃(g) + 5 O₂(g) → 4NO(g) + 6H₂O(g)",numerical,intermediate,['Redox Reactions'],chemistry_exercises_231_0ccd183107,"['chemistry_exercises_231_0ccd183107', 'chemistry_marginalia_232_e793e872ae', 'chemistry_exercises_232_74a5438a14']","Chemistry deals with varieties of matter and change of one kind of matter into the other. Transformation of matter from one kind into another occurs through the various types of reactions. One important category of such reactions is **Redox Reactions**. A number of phenomena, both physical as well a",ncert_exercise,True,True,True,True,1.0
q_0505,"['maths_exercises_211_0c3d17c0ea', 'maths_exercises_213_d5d8774b21', 'maths_text_659_68f396b368', 'maths_text_656_b13b63daad', 'maths_exercises_213_e77e2a8824', 'maths_text_210_237f16e5a6', 'maths_exercises_212_05170c3981', 'maths_exercises_211_a378f09775', 'maths_text_210_6d157859aa', 'maths_exercises_211_32778292c9']","['maths_exercises_211_0c3d17c0ea', 'maths_exercises_213_d5d8774b21', 'maths_text_659_68f396b368', 'maths_text_656_b13b63daad', 'maths_exercises_213_e77e2a8824']",,maths,12,11,Three Dimensional Geometry,What is Solution? Explain in the context of Three Dimensional Geometry.,definition,basic,"['Solution', 'Three Dimensional Geometry']",maths_text_654_f9a5bd10b1,['maths_text_654_f9a5bd10b1'],"**Solution** Let the d. c.'s of the lines be l, m, n. Then l = cos 90° = 0, m = cos 60° = 1/2,",generated_from_key_terms,False,False,False,False,0.0
q_0290,"['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_a247680e0a', 'biology_text_81_02121d473d', 'biology_figure_80_47a1eecd48', 'biology_text_80_bb02bcf7a4', 'biology_text_81_04b09788e4', 'biology_exercises_84_d0bd493477', 'biology_text_82_2227b001e2', 'biology_summary_83_7eecc9dfc7', 'biology_text_82_390b8ed99c']","['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_a247680e0a', 'biology_text_81_02121d473d', 'biology_figure_80_47a1eecd48', 'biology_text_80_bb02bcf7a4']",,biology,11,7,Structural Organisation in Animals,"Mention the function of the Ureters in frog.
CELL: STRUCTURE AND FUNCTIONS
Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of forms, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around li",conceptual,intermediate,['Structural Organisation in Animals'],biology_exercises_83_d3ddf19a79,"['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_d0bd493477', 'biology_exercises_84_a247680e0a']","## 7.1 ORGAN AND ORGAN SYSTEM

The basic tissues as you have learnt in earlier classes, organise to form organs which in turn associate to form organ systems in the multicellular organisms. Such an organisation is essential for more efficient and better coordinated activities of millions of cells co",ncert_exercise,True,True,True,True,1.0
