id,flat_top_10_ids,flat_top_5_ids,generated_ans,subject,grade,chapter,chapter_title,question,type,difficulty,key_concepts,reference_chunk_id,recall_any_of,reference_answer,source,hit_5,hit_any_5,hit_10,hit_any_10,mrr_any
q_0210,"['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_text_292_3f117534a5', 'maths_text_693_1d87988522', 'maths_exercises_16_8d4b7a485a', 'maths_text_295_f7162af465', 'maths_text_292_fb1023fbdf', 'maths_exercises_305_6c2f9bdb91', 'maths_exercises_294_a3d9571b48', 'maths_text_291_b356980f17']","['maths_exercises_293_d2f117d04d', 'maths_text_292_f5bd611a6e', 'maths_text_292_3f117534a5', 'maths_text_693_1d87988522', 'maths_exercises_16_8d4b7a485a']",,maths,11,14,Probability,"A die is thrown. Describe the following events:
   (i) A: a number less than 7
   (ii) B: a number greater than 7
   (iii) C: a multiple of 3
   (iv) D: a number less than 4
   (v) E: an even number greater than 4
   (vi) F: a number not less than 3
Also find A ∪ B, A ∩ B, B ∪ C, E ∩ F, D ∩ E, A – C, D – E, E ∩ F', F'",conceptual,intermediate,['Probability'],maths_exercises_293_d2f117d04d,"['maths_exercises_293_d2f117d04d', 'maths_exercises_294_a3d9571b48', 'maths_exercises_304_07fa2ea537']","We know that the set E is a subset of the sample space S. Similarly, we find the
following correspondence between events and subsets of S.

Description of events                 Corresponding subset of 'S'
Number of tails is exactly 2          A = {TT}
Number of tails is atleast one        B = {HT, ",ncert_exercise,True,True,True,True,1.0
q_0446,"['chemistry_text_419_9dd5ca6b7d', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_399_a1d4d783fc', 'chemistry_text_419_1b8c85d904', 'chemistry_exercises_421_e66cb237ab', 'chemistry_text_400_a694c9fe81', 'chemistry_text_419_6eb96d396a', 'chemistry_text_416_e4a59799aa', 'chemistry_text_404_d712cfb010', 'chemistry_text_416_24062d09f9']","['chemistry_text_419_9dd5ca6b7d', 'chemistry_summary_420_a47a5ff2aa', 'chemistry_text_399_a1d4d783fc', 'chemistry_text_419_1b8c85d904', 'chemistry_exercises_421_e66cb237ab']",,chemistry,12,4,The d- and f-Block Elements,What is Lanthanoid contraction? Explain in the context of The d- and f-Block Elements.,definition,basic,"['Lanthanoid contraction', 'The d- and f-Block Elements']",chemistry_text_399_ecbaa739b4,['chemistry_text_399_ecbaa739b4'],"Fig. 4.2
Trends in enthalpies
of atomisation of
transition elements

### 4.3.2 Variation in Atomic and Ionic Sizes of Transition Metals

In general, ions of the same charge in a given series show progressive decrease in radius with increasing atomic number. This is because the new electron enters a ",generated_from_key_terms,False,False,False,False,0.0
q_0533,"['biology_text_158_13a8177e20', 'biology_exercises_164_24e42547b4', 'biology_text_162_6f3bb9f2f0', 'biology_text_157_1342445d16', 'biology_text_159_6e85be5020', 'biology_text_156_1b5bcac8b9', 'biology_text_155_2b0ff1e67a', 'biology_text_152_b1ec20e6ee', 'biology_text_152_1ff7f4e080', 'biology_figure_157_6c89c8b2fc']","['biology_text_158_13a8177e20', 'biology_exercises_164_24e42547b4', 'biology_text_162_6f3bb9f2f0', 'biology_text_157_1342445d16', 'biology_text_159_6e85be5020']",,biology,11,12,Respiration in Plants,What is respiration? Explain in the context of Respiration in Plants.,definition,basic,"['respiration', 'Respiration in Plants']",biology_text_153_f88b2caa5d,['biology_text_153_f88b2caa5d'],"Photosynthesis, of course, takes place within the chloroplasts (in the eukaryotes), whereas the breakdown of complex molecules to yield energy takes place in the cytoplasm and in the mitochondria (also only in eukaryotes). The breaking of the C-C bonds of complex compounds through oxidation within t",generated_from_key_terms,False,False,False,False,0.0
q_0376,"['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5', 'biology_text_470_7c5cd3e9c5', 'biology_text_476_f439c0aeed', 'biology_text_467_655dae7974', 'biology_text_474_f67357b78a', 'biology_text_473_b3af3f9f59', 'biology_summary_477_daf4f32b87']","['biology_exercises_477_0acf1e7206', 'biology_text_474_da49486b24', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5', 'biology_text_470_7c5cd3e9c5']",,biology,12,13,Biodiversity and Conservation,Name the three important components of biodiversity.,factual,basic,['Biodiversity and Conservation'],biology_exercises_477_0acf1e7206,"['biology_exercises_477_0acf1e7206', 'biology_exercises_478_efc2067cef', 'biology_exercises_479_a53ac17af5']","BIODIVERSITY AND CONSERVATION

combined diversity at all the levels of biological organisation.
The most important of them are-

(i) **Genetic diversity**: A single species might show high diversity at the genetic level over its distributional range. The genetic variation shown by the medicinal plan",ncert_exercise,True,True,True,True,1.0
q_0481,"['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_summary_286_cd49ec3847', 'maths_exercises_269_b1428612f5', 'maths_exercises_269_44f246c090', 'maths_text_260_f8020e1d46', 'maths_text_260_9203c3452c', 'maths_text_273_1996f53c36', 'maths_exercises_269_869a00cd81', 'maths_text_261_fe361a963a']","['maths_text_259_4a6eabe4bc', 'maths_summary_285_a23bf3cd20', 'maths_summary_286_cd49ec3847', 'maths_exercises_269_b1428612f5', 'maths_exercises_269_44f246c090']",,maths,11,13,Statistics,What is Mean deviation for ungrouped data? Explain in the context of Statistics.,definition,basic,"['Mean deviation for ungrouped data', 'Statistics']",maths_text_259_4a6eabe4bc,['maths_text_259_4a6eabe4bc'],"13.4.1 **Mean deviation for ungrouped data** Let _n_ observations be _x_₁, _x_₂, _x_₃, ..., _xₙ_.
The following steps are involved in the calculation of mean deviation about mean or median:

**Step 1** Calculate the measure of central tendency about which we are to find the mean deviation. Let it be",generated_from_key_terms,True,True,True,True,1.0
q_0540,"['biology_text_206_a8d1c55198', 'biology_text_212_1e7367a7eb', 'biology_text_204_0962138c9f', 'biology_text_206_15a6e8cf63', 'biology_text_213_9e1d3fd93d', 'biology_exercises_214_379be8a2ea', 'biology_text_208_709c4717d7', 'biology_summary_213_da2f8ffbf9', 'biology_text_211_091d610ddb', 'biology_text_207_f020b96dc8']","['biology_text_206_a8d1c55198', 'biology_text_212_1e7367a7eb', 'biology_text_204_0962138c9f', 'biology_text_206_15a6e8cf63', 'biology_text_213_9e1d3fd93d']",,biology,11,16,Excretory Products and Their Elimination,What is Ammonotelism? Explain in the context of Excretory Products and Their Elimination.,definition,basic,"['Ammonotelism', 'Excretory Products and Their Elimination']",biology_text_204_36f5a5bb70,['biology_text_204_36f5a5bb70'],"The process of excreting ammonia is **Ammonotelism**. Many bony fishes, aquatic amphibians and aquatic insects are **ammonotelic** in nature. Ammonia, as it is readily soluble, is generally excreted by diffusion across body surfaces or through gill surfaces (in fish) as ammonium ions. Kidneys do not",generated_from_key_terms,False,False,False,False,0.0
q_0452,"['chemistry_marginalia_500_f0bca895f4', 'chemistry_text_496_2ef5b71670', 'chemistry_text_503_19c4edac9b', 'chemistry_exercises_514_4f31295609', 'chemistry_text_484_b68bdd95a3', 'chemistry_text_482_e204a88f0c', 'chemistry_text_482_2a119a409e', 'chemistry_text_498_49c860966c', 'chemistry_exercises_512_24a9bc9064', 'chemistry_text_486_59de5ec9eb']","['chemistry_marginalia_500_f0bca895f4', 'chemistry_text_496_2ef5b71670', 'chemistry_text_503_19c4edac9b', 'chemistry_exercises_514_4f31295609', 'chemistry_text_484_b68bdd95a3']",,chemistry,12,7,"Alcohols, Phenols and Ethers","What is Alcohols? Explain in the context of Alcohols, Phenols and Ethers.",definition,basic,"['Alcohols', 'Alcohols, Phenols and Ethers']",chemistry_text_481_338a013542,['chemistry_text_481_338a013542'],You have learnt that substitution of one or more hydrogen atom(s) from a hydrocarbon by another atom or a group of atoms result in the formation of an entirely new compound having altogether different properties and applications. **Alcohols** and **phenols** are formed when a hydrogen atom in a hydr,generated_from_key_terms,False,False,False,False,0.0
q_0107,"['chemistry_exercises_231_0ccd183107', 'chemistry_text_222_69ec73bfd2', 'chemistry_text_220_6632d8275d', 'chemistry_text_220_f3815c9cab', 'chemistry_marginalia_232_e793e872ae', 'chemistry_text_216_a7197b95c9', 'chemistry_text_215_aadebf5792', 'chemistry_text_214_df90ba9f18', 'chemistry_text_223_ff12731d0a', 'chemistry_text_225_691c3bd53b']","['chemistry_exercises_231_0ccd183107', 'chemistry_text_222_69ec73bfd2', 'chemistry_text_220_6632d8275d', 'chemistry_text_220_f3815c9cab', 'chemistry_marginalia_232_e793e872ae']",,chemistry,11,7,Redox Reactions,"Justify that the following reactions are redox reactions:
(a) CuO(s) + H₂(g) → Cu(s) + H₂O(g)
(b) Fe₂O₃(s) + 3CO(g) → 2Fe(s) + 3CO₂(g)
(c) 4BCl₃(g) + 3LiAlH₄(s) → 2B₂H₆(g) + 3LiCl(s) + 3 AlCl₃(s)
(d) 2K(s) + F₂(g) → 2K⁺F⁻(s)
(e) 4 NH₃(g) + 5 O₂(g) → 4NO(g) + 6H₂O(g)",numerical,intermediate,['Redox Reactions'],chemistry_exercises_231_0ccd183107,"['chemistry_exercises_231_0ccd183107', 'chemistry_marginalia_232_e793e872ae', 'chemistry_exercises_232_74a5438a14']","Chemistry deals with varieties of matter and change of one kind of matter into the other. Transformation of matter from one kind into another occurs through the various types of reactions. One important category of such reactions is **Redox Reactions**. A number of phenomena, both physical as well a",ncert_exercise,True,True,True,True,1.0
q_0505,"['maths_exercises_213_d5d8774b21', 'maths_text_654_f9a5bd10b1', 'maths_exercises_211_0c3d17c0ea', 'maths_text_656_b13b63daad', 'maths_text_659_68f396b368', 'maths_exercises_213_e77e2a8824', 'maths_text_659_c97089034c', 'maths_text_657_f02e64e586', 'maths_text_210_6d157859aa', 'maths_figure_209_a9d6315dea']","['maths_exercises_213_d5d8774b21', 'maths_text_654_f9a5bd10b1', 'maths_exercises_211_0c3d17c0ea', 'maths_text_656_b13b63daad', 'maths_text_659_68f396b368']",,maths,12,11,Three Dimensional Geometry,What is Solution? Explain in the context of Three Dimensional Geometry.,definition,basic,"['Solution', 'Three Dimensional Geometry']",maths_text_654_f9a5bd10b1,['maths_text_654_f9a5bd10b1'],"**Solution** Let the d. c.'s of the lines be l, m, n. Then l = cos 90° = 0, m = cos 60° = 1/2,",generated_from_key_terms,True,True,True,True,0.5
q_0290,"['biology_exercises_84_a247680e0a', 'biology_exercises_130_a68d151419', 'biology_text_0_1eba580059', 'biology_exercises_54_8aab2a2218', 'biology_text_86_756ed38bf8', 'biology_text_119_404b429df2', 'biology_text_87_479657e387', 'biology_text_86_cade4a1eae', 'biology_text_86_5c091687be', 'biology_text_93_a13ec6a090']","['biology_exercises_84_a247680e0a', 'biology_exercises_130_a68d151419', 'biology_text_0_1eba580059', 'biology_exercises_54_8aab2a2218', 'biology_text_86_756ed38bf8']",,biology,11,7,Structural Organisation in Animals,"Mention the function of the Ureters in frog.
CELL: STRUCTURE AND FUNCTIONS
Biology is the study of living organisms. The detailed description of their form and appearance only brought out their diversity. It is the cell theory that emphasised the unity underlying this diversity of forms, i.e., the cellular organisation of all life forms. A description of cell structure and cell growth by division is given in the chapters comprising this unit. Cell theory also created a sense of mystery around li",conceptual,intermediate,['Structural Organisation in Animals'],biology_exercises_83_d3ddf19a79,"['biology_exercises_83_d3ddf19a79', 'biology_exercises_84_d0bd493477', 'biology_exercises_84_a247680e0a']","## 7.1 ORGAN AND ORGAN SYSTEM

The basic tissues as you have learnt in earlier classes, organise to form organs which in turn associate to form organ systems in the multicellular organisms. Such an organisation is essential for more efficient and better coordinated activities of millions of cells co",ncert_exercise,False,True,False,True,1.0
